Sample,Date,Tide,Well,Depth,DOC,TN,,UniqueID,CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,UniqueID,W,D,tide
010322_L_W3D4,10322,L,3,4,384.8443471,79.40842597,,010322_L_W3D4,0.533272349,0.05508662,0.443166377,0.674289191,0.247235106,0.056392807,0.457081974,0.451319348,0.463984036,1.471752334,0.952399131,1.346981443,18.41057669,1.029405655,0.657234883,9.95829984,0.007956239,282.7175672,Group005Sample0005,run2,010322_L_W3D4,W3,D4,L
010322_L_W4D1,10322,L,4,1,90.2133098,28.66485325,,010322_L_W4D1,0.091190076,0.005493337,0.082295589,0.094847163,0.018823438,0,0.038771077,0.065735946,0.031725741,0.106981239,0.097750377,0.713239686,7.1519206,1.414441527,0.867665267,1.440584831,0.013397719,22.10790435,Group005Sample0006,run3,010322_L_W4D1,W4,D1,L
010322_L_W4D2,10322,L,4,2,88.0902029,26.20174631,,010322_L_W4D2,0.096389854,0.003835766,0.087566633,0.101828198,0.014914677,0,0.043280405,0.070124426,0.03458816,0.117604782,0.107554095,0.712359495,7.823635007,1.389721167,0.859944834,1.32202547,0.011409353,23.55373015,Group005Sample0007,run3,010322_L_W4D2,W4,D2,L
010322_L_W4D3,10322,L,4,3,89.54515557,64.53340187,,010322_L_W4D3,0.127247711,0.016180123,0.117282293,0.130403743,0.026528693,0,0.058778973,0.096467967,0.047002169,0.16296771,0.123049352,0.661958206,12.10437437,1.370606159,0.89937827,1.285595607,0.008391472,28.95158743,Group005Sample0006,run2,010322_L_W4D3,W4,D3,L
010322_L_W4D4,10322,L,4,4,86.23560658,55.26997794,,010322_L_W4D4,0.163550149,0.013009162,0.148899478,0.164087729,0.032002058,0,0.07608347,0.12201655,0.060454119,0.213899639,0.129013077,0.652517722,14.63930468,1.339505202,0.907438222,1.40716447,0.007189623,36.59093535,Group005Sample0007,run2,010322_L_W4D4,W4,D4,L
030322_H_MQ,30322,H,MQ,,3.501877493,0,,030322_H_MQ,0.002256476,0,0.002732129,0.001511307,0,0.006711814,0.000728668,0.000190646,0.000400759,0.00234775,0,0.340623298,2.129756008,2.17737161,1.807792036,0.016414075,0.009013338,0.423418847,Group008Sample0003,run2,030322_H_MQ,030322_H_MQ,030322_H_MQ,H
030322_H_SW,30322,H,Seawater,1,89.99752998,23.32217201,,030322_H_SW,0.044924376,0.019574276,0.039497391,0.049838358,0.023055096,0,0.017154652,0.028370325,0.012388881,0.049588584,0.037129208,0.756378942,4.461768836,1.540159179,0.792509887,1.283929906,0.024950973,12.15426233,Group008Sample0004,run2,030322_H_SW,030322_H_SW,030322_H_SW,H
030322_H_W1D1,30322,H,1,1,649.3584887,218.7346056,,030322_H_W1D1,0.594963644,0.078780895,0.482178317,0.767428072,0.325311939,0.059579997,0.479642569,0.486570557,0.48337406,1.742070835,1.267594739,1.36961113,18.22246803,1.033771158,0.628304247,13.42975499,0.008590744,376.4231876,Group006Sample0001,run2,030322_H_W1D1,W1,D1,H
030322_H_W1D2,30322,H,1,2,578.296852,214.0225749,,030322_H_W1D2,0.569858453,0.059913944,0.465907048,0.728752609,0.281136326,0.058535493,0.47048649,0.471692723,0.475489661,1.637656726,1.002616554,1.353393203,17.89425526,1.032464526,0.639321276,11.33782764,0.008283231,309.6480597,Group006Sample0002,run2,030322_H_W1D2,W1,D2,H
030322_H_W1D3,30322,H,1,3,323.1493585,74.00029986,,030322_H_W1D3,0.516512085,0.042049191,0.433154243,0.64668677,0.18153791,0.040588186,0.385997495,0.442893945,0.282808042,1.005348266,0.569590576,0.928402973,15.26198324,1.030469293,0.669805325,7.198807194,0.008377331,174.7448326,Group006Sample0003,run2,030322_H_W1D3,W1,D3,H
030322_H_W1D4,30322,H,1,4,383.9763711,42.97229183,,030322_H_W1D4,0.612217773,0.138003327,0.494464061,0.793011676,0.508588941,0.068101375,0.486379731,0.497886406,0.488161684,1.823961007,1.891588649,1.381091802,12.82054568,1.032761395,0.623526836,21.36961689,0.012005701,493.8816615,Group001Sample0004,run3,030322_H_W1D4,W1,D4,H
030322_H_W2D1,30322,H,2,1,261.8352802,170.5183948,,030322_H_W2D1,0.532865414,0.071761092,0.443919405,0.671788063,0.265091113,0.074250666,0.460663167,0.452929911,0.467909049,1.457557163,0.905562213,1.261191687,13.9315562,1.030358733,0.660802758,10.87469577,0.009567488,250.1035251,Group006Sample0004,run2,030322_H_W2D1,W2,D1,H
030322_H_W2D2,30322,H,2,2,254.4418727,129.0953615,,030322_H_W2D2,0.527989863,0.062663948,0.440484955,0.664509547,0.224757289,0.047320843,0.45631772,0.449269588,0.405228743,1.37766269,0.774948496,1.108979508,14.71189937,1.028777238,0.662872274,9.353905424,0.008893612,224.8204219,Group001Sample0005,run3,030322_H_W2D2,W2,D2,H
030322_H_W2D3,30322,H,2,3,187.5265388,77.47720734,,030322_H_W2D3,0.512408623,0.040716935,0.431015916,0.640804927,0.154635296,0.02766267,0.39161567,0.440683426,0.292004772,0.981253559,0.580600113,0.92049301,15.66571341,1.060447817,0.672616421,6.398834436,0.007644816,167.4313289,Group001Sample0006,run3,030322_H_W2D3,W2,D3,H
030322_H_W3D1,30322,H,3,1,192.197374,141.9677726,,030322_H_W3D1,0.515740091,0.052359826,0.433773758,0.645413912,0.21301078,0.032425528,0.443681909,0.443846382,0.34396923,1.161861483,0.649210141,0.951637046,13.76419243,1.028517305,0.67208616,8.404583351,0.008954382,190.3587807,Group001Sample0007,run3,030322_H_W3D1,W3,D1,H
030322_H_W3D2,30322,H,3,2,193.0466168,91.97741081,,030322_H_W3D2,0.526219065,0.041260709,0.440493112,0.661095671,0.184311218,0.043416856,0.457656963,0.449400574,0.415176252,1.420601449,0.717577161,1.045093522,18.01503749,1.030473609,0.666307665,7.420982723,0.007020998,219.5495378,Group002Sample0001,run3,030322_H_W3D2,W3,D2,H
